,playerID,Player,H,HR,ER,BB,SO,HBP,R
651,severlu01,Luis Severino,89.17014655102625,14.628647287271859,44.10707412473461,36.35705507598219,116.5848213683976,5.231362848081313,46.948189768615194
697,suarejo01,Jose Suarez,110.11267526637337,15.248093728264779,54.54190068427302,41.75781981183024,116.5608281103393,5.195319801392916,58.00351207172304
561,peterda01,David Peterson,97.08754214392918,13.640305463324474,51.34497951302064,46.581229807546,116.55579789202213,6.7699015523620245,56.18869807962052
539,ottogl01,Glenn Otto,119.44687817966275,18.348956523381833,68.78989903346671,54.37998234192076,116.47451452002683,10.217190539699093,73.11463885783436
99,bundydy01,Dylan Bundy,139.59332907957366,23.370906335676562,76.00177139783072,40.930815044437615,116.46641985039864,5.845312918772618,80.57617003479028
160,cuetojo01,Johnny Cueto,154.84390725896725,18.02441643144545,66.63179978703589,42.800662521688764,115.96370783554765,6.36977968457592,73.55679388012024
78,bradiky01,Kyle Bradish,114.53628906189883,16.24361610869333,60.005914156491194,45.04039721691925,114.759841505426,6.551074163062511,64.58425520097663
569,plesaza01,Zach Plesac,133.41647974341794,20.663741439765964,66.63909034608274,40.34737761505747,114.54610269117637,6.076880495030541,74.35724758564402
133,civalaa01,Aaron Civale,112.87146036797496,18.88209630198055,59.69089790193212,33.94573219658178,114.37606850827656,6.32293996591295,64.27389507764565
694,stripro01,Ross Stripling,120.95093521397331,18.872961862701892,57.46056431424605,34.132785055036585,113.4940139758729,3.485493737414333,61.914804588030485
96,buehlwa01,Walker Buehler,95.78719263960187,13.40144069838669,43.0575253724302,33.73790468657232,112.66264890092455,4.090426830442257,46.44394775931636
486,minormi01,Mike Minor,132.58688546858224,23.93411728997105,74.58311431458735,44.89740244866955,111.88576824160027,6.314351447121408,79.72843257874624
361,kellebr01,Brad Keller,136.6789508755225,16.363327509248943,70.20869881062039,54.622774990675204,110.05871728291065,4.616910468881187,77.02659652349273
253,garrebr01,Braxton Garrett,104.02145576034576,12.438423836206173,47.65335065678244,37.88904788867791,108.71326400896778,8.361714060497063,51.854478124510365
529,odorija01,Jake Odorizzi,120.21049066285512,17.913724575694186,61.039253712848286,43.34489928995085,108.17518775375011,4.5975173785589805,66.37578658115477
458,mcculla02,Lance McCullers,82.43710769217982,10.371137481793356,38.88769000682942,44.11183302568148,106.7650872573944,4.9857012544382195,41.578932448002966
391,kremede01,Dean Kremer,123.30297506438974,16.845878966062216,59.06339435724296,43.34508882510197,106.33971230804742,4.983476261742283,62.835590665586906
715,thompke02,Keegan Thompson,97.93007507422924,15.356765272993012,46.599238638699184,44.10386557417283,105.57313729546479,6.744061104317833,51.75780094134772
768,wellsty01,Tyler Wells,101.62218116119084,17.431356289347736,55.46743109374124,35.46520014681379,105.27776352884712,3.63483437441453,57.836175618138874
231,flexech01,Chris Flexen,132.13886487099325,16.5664482039193,58.16673271851763,44.134383974842216,104.09658187741395,3.5998694125084723,61.8581612911599
271,gombeau01,Austin Gomber,115.04332116946286,18.17253837271223,63.260194855265475,39.59732032717811,103.92930540919842,3.605413553367409,67.6296654942478
287,greinza01,Zack Greinke,154.54003165674064,20.39475587662869,67.8215985480792,36.92820799228199,102.7445544893428,3.84478691574254,74.1718969681485
355,junisja01,Jakob Junis,115.05468898875746,15.204218506570982,56.3361206683217,32.456501181280004,102.36339497277312,4.351479619422153,59.512884737969415
105,cabreed02,Edward Cabrera,76.89322660827658,13.937463142838372,41.47667162623832,42.82802943507206,102.0791224730538,8.823647352020723,44.7074448656793
70,blackpa01,Paul Blackburn,121.16576588354793,17.113464613644386,60.50617286307591,37.44093802773646,101.9295632548381,5.756000315384488,62.966914711995166
705,syndeno01,Noah Syndergaard,125.57768404066861,14.778588144158993,57.468499065599936,35.990986661740045,101.70210609190468,4.76718016209894,61.43425997243277
718,thompza01,Zach Thompson,121.32280303431685,16.27746706393117,60.48885764092611,45.7935713367595,101.5692138228541,4.398618935861431,67.68191975126463
421,lorenmi01,Michael Lorenzen,98.88857196318178,13.092468100765405,54.77390674325201,48.36052494193156,101.19135010699824,4.94232985714412,58.070311743580696
139,clevimi01,Mike Clevinger,105.62663951313627,18.331171059894093,54.809414847510006,39.45510489714781,100.5282842002071,7.901842275328408,57.506113553639366
28,archech01,Chris Archer,102.36401957245373,14.481472805840541,56.651310162613385,49.10113786653774,100.3701533389238,4.196456720602853,61.57637296427661
145,contrro01,Roansy Contreras,89.32992456497809,13.145923166390714,43.51814439286771,39.04753406599658,99.49220154174112,3.434036353500895,48.380903328217094
220,feltnry01,Ryan Feltner,106.27432323219404,16.556707797474008,61.437454704633886,39.8466101964882,99.48971041391607,5.670590620841329,64.79069025136751
333,housead01,Adrian Houser,116.5104784261517,12.754096640777677,58.38620796679178,54.2196566083405,98.14524732448028,5.728240047252725,68.92538436945306
307,hendrky01,Kyle Hendricks,124.01000289692952,19.953401560288274,61.90484754964038,34.75473790981549,97.40801441298323,6.3984934357405345,64.73621862621223
303,hearnta01,Taylor Hearn,97.87595381026715,13.465774652375606,52.69431677479288,41.66108349005883,96.31037800549697,3.75503739917171,56.53575346685906
526,oberba01,Bailey Ober,89.94005270383121,13.962326868677756,42.8451624657637,26.89262263560339,96.20062610041126,3.360201667918274,46.29256312189872
257,germado01,Domingo German,95.26071205418195,16.046937637114258,48.45243536720828,32.69465785232998,96.00878234886191,4.555473397103958,51.84389121779916
773,whitemi03,Mitch White,103.5873206038887,11.806766647344674,54.65757583666235,38.202868563498086,94.10653594356425,3.5435268355269174,60.42575080549438
213,falteba01,Bailey Falter,94.0994413750607,15.501760140440657,45.45372308488876,26.679887913112488,94.03362800130658,5.888834212296421,48.92642771226068
781,wilsobr02,Bryse Wilson,124.44306969961708,19.38441358499634,65.54455225572099,37.59870529094154,93.8796208781057,6.579682156470746,71.77376079257526
337,hudsoda02,Dakota Hudson,123.69344620951297,11.686025678722187,61.05260577409209,52.86734907702073,93.62888700080093,7.667988454674167,64.38800141926521
207,espinpa01,Paolo Espino,115.29253882121907,19.923549046211654,56.02898945257621,30.121643630895758,93.33559350547017,2.8594101613765517,59.12223594194423
32,ashcrgr01,Graham Ashcraft,114.1460670446626,12.687954584285894,55.745366566617484,35.53455616095098,93.18336329099198,7.11005570728744,60.305112870576096
199,eflinza01,Zach Eflin,94.5432573249275,12.61240577441448,44.97586637098059,24.537974912588137,91.74069308353468,4.535288898035175,49.06232481632424
624,sampsad01,Adrian Sampson,106.4917339241422,14.214806570982644,44.45787342904226,34.29721294739825,91.61761241568392,5.509311571873398,50.090596195875044
304,heasljo01,Jonathan Heasley,110.27818148758773,18.06075074665747,59.50951668951994,45.38677887810723,91.29371737379361,6.534490202278758,65.06560126465247
275,gorema01,MacKenzie Gore,80.12486434359468,9.869896443826905,40.9856183295554,37.77200546833878,90.44356951823552,4.560955685837346,43.11207112389587
748,vothau01,Austin Voth,98.86333442497028,14.91774127851772,49.905003328671846,35.57553313142232,90.25540381427157,3.7725927328958364,53.094087808549716
649,senzaan01,Antonio Senzatela,140.1223588712243,12.80526174456233,61.499928338939085,33.348534422469726,89.48222848047307,5.897424092389387,66.67195469225703
6,adonjo01,Joan Adon,93.69595591032265,11.584552316558655,54.09945161332158,42.7988773793288,88.9038401226931,6.455822645459553,57.55941937342826
270,glasnty01,Tyler Glasnow,57.59647236926726,10.233753849066376,29.6371136585877,26.14478014593774,88.02258905761481,1.9150253367691281,31.299157719700254
