,playerID,Player,1B,2B,3B,HR,BB,HBP,SB,CS,SO,SH,SF
558,semiema01,Marcus Semien,81.9741439762877,28.96775824644167,2.9468741604242115,28.42086619231007,53.748000842439914,3.4523243101734917,15.49433261457976,3.6915709717267267,122.72841189500393,0.17071226531643263,5.141860802489389
299,hoskirh01,Rhys Hoskins,65.169756769082,30.18148663116348,1.1806506312646023,28.28993780759885,63.271431406076104,6.691362349783515,3.3592691710376763,1.5121769070802502,142.16648534939526,0.1945260361440587,2.9815024632739764
587,stantmi03,Giancarlo Stanton,59.493816873024834,14.481014875951194,0.3370818755791913,28.117675431494295,52.276259271484804,2.538791644521361,1.4351226564310466,0.6439145646248843,135.4524658773232,0.18000553462441704,2.7136883514443255
159,deverra01,Rafael Devers,81.98003219932554,34.57883318050681,1.2142348503560612,28.045595199435994,49.48072412122655,6.186924851054801,3.754463895094671,2.192763064090135,119.64386335821406,0.17301965116454338,2.9060054176668144
369,machama01,Manny Machado,87.94463984779695,29.81146002550814,1.5025503244324467,27.883499009078548,57.509792184982864,2.047878981392888,9.33288878167548,2.336148663657928,111.17599016159386,0.17238900112959613,5.49571655575125
91,buxtoby01,Byron Buxton,45.38201259892853,19.946300758763584,1.7376718720751156,27.736607719624615,30.89635818168175,7.0239344990052714,7.87936806436904,1.1040214000708792,111.63612243664669,0.2117326002877213,1.7098252797994828
632,tuckeky01,Kyle Tucker,76.83449235682434,29.79474723761098,3.065767495605538,27.52213437883702,53.85344811517721,1.8391949751491496,17.154595327908773,2.728975156242458,95.63335364256469,0.18220348597157437,3.207707532760117
33,arenano01,Nolan Arenado,77.10960576812928,32.1826333014636,1.589867472009822,27.328741175988753,47.121525012217205,4.669859759452689,3.6169381344543767,1.5305045253987144,83.31153452512098,0.17386782650924168,5.092053209402999
228,goldspa01,Paul Goldschmidt,89.89998096619338,32.45247650195136,0.8957963555492363,27.158823548524936,66.23822060340912,4.325361410431096,7.357285957466048,0.386349348318782,127.46865682150842,0.16928342420676656,3.7167653667418277
513,renfrhu01,Hunter Renfroe,63.51645088996942,24.789262030222794,0.7257586834130234,27.0834014023993,41.65938434716327,3.5078812233837118,2.3748609933667644,1.4268787615305523,120.97254273812315,0.9223129937575204,3.8990339560637852
550,santaan02,Anthony Santander,70.91995183747818,26.020436461972626,0.6101337226786754,27.00857325480371,43.281388662133445,8.64963759884589,1.6495975213156828,1.8540867024739833,115.82693463623892,0.5149366561109198,4.105682835154746
556,seageco01,Corey Seager,81.42031554334727,24.699950356341745,1.9953630027843214,26.947275989646723,54.26127093564945,6.070095083592895,3.0996347968214857,0.7544872131975159,97.38883859573376,0.1934575286680827,4.206978015029178
581,sotoju01,Juan Soto,81.50357018493776,23.64010046270522,1.7366897468063247,26.871191772657845,119.87395611207957,3.5927611714067167,7.7293656481225685,3.65785999940786,91.44445969665134,0.18181771207916347,2.1816694437799
284,hernate01,Teoscar Hernandez,77.98450507785975,27.693517745435564,0.6997423620311489,26.75346592524767,35.738270724085254,4.23109617133915,8.332446062360951,2.974371584431974,140.25100824141163,0.17426994574980229,1.4196618424339138
138,croncj01,C. J. Cron,75.02196686485439,27.29722797640601,1.926376537099353,26.66950323447035,50.178561232275364,9.246322509291526,1.6268125717282302,0.4326987273856589,138.81258880445964,0.19464869758773576,4.06891556499091
610,tellero01,Rowdy Tellez,62.834127376604876,21.647919672531835,1.100342711647425,26.39627520471527,49.932551787477784,5.319393131792817,2.3106260568076973,1.168178277260967,107.95630614468364,0.2120984684712611,2.965020140878937
676,wisdopa01,Patrick Wisdom,49.56061525661843,22.687569166278738,0.39456506398764285,26.378510122515326,46.98605472016891,7.028069539036967,6.542893634510147,2.721706144242965,170.79020927915704,0.6530623044507309,1.6513533031510481
3,adamewi01,Willy Adames,70.17765872877924,30.224291365588083,0.8869547746521569,26.129041774372663,51.75874523835893,1.5227038452083002,6.377212152521074,3.038123937993743,153.82163040467924,0.18318164382446292,2.51086949796729
214,garciad02,Adolis Garcia,76.94980518339705,27.416847326037363,3.0861259054991383,25.827414460556582,37.22680830355097,5.428491226770863,16.873467116773302,4.603799682215137,167.6854956555125,0.19480988164020635,4.490764492262753
