,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,PA_flag,AB_flag,Is_Hit,SwungOn,ContactMade_Fair,ContactMade_Foul,BatterTeam,PitcherTeam
6743,SI,2021-03-01,96.5,-2.41,5.92,"Alcantara, Sandy",624413,645261,,ball,,,,,13.0,Pete Alonso walks.,S,R,R,MIA,NYM,B,,,0,1,2021,-1.5,0.56,-1.84,2.47,,,,2,1,Top,,,,,595751,,,4.897061995215922,-140.43372223201135,-4.827604347122904,-21.0033989015684,33.39183605737012,-23.912638869263844,3.5,1.75,,,,95.9,2279.0,6.1,641961,645261,595751,542583,656371,605119,500743,572816,516782,621446,54.43,,,,,,,,3,2,Sinker,0,0,0,0,0,0,0,0,Infield shift,Standard,224.0,0.0,,,,0.0,0,0,0,NYM,MIA
6742,SI,2021-03-01,95.6,-2.2,6.02,"Alcantara, Sandy",624413,645261,,swinging_strike,,,,,13.0,Pete Alonso walks.,S,R,R,MIA,NYM,S,,,1,1,2021,-1.34,0.63,-1.17,2.25,,,,2,1,Top,,,,,595751,,,5.718551192469367,-139.12729535953096,-5.699941301707508,-18.681363599838672,30.80027304082284,-22.96389090572524,3.5,1.75,,,,95.2,2239.0,6.0,641961,645261,595751,542583,656371,605119,500743,572816,516782,621446,54.48,,,,,,,,3,3,Sinker,0,0,0,0,0,0,0,0,Infield shift,Standard,225.0,0.0,,,,0.0,1,0,0,NYM,MIA
6741,SI,2021-03-01,95.8,-2.28,6.02,"Alcantara, Sandy",624413,645261,,ball,,,,,13.0,Pete Alonso walks.,S,R,R,MIA,NYM,B,,,1,2,2021,-1.25,0.62,-1.89,2.52,,,,2,1,Top,,,,,595751,,,3.828293808726,-139.38689802008307,-5.015926068984494,-17.16504840924321,31.041159302841496,-23.1135928673727,3.5,1.75,,,,95.3,2322.0,6.0,641961,645261,595751,542583,656371,605119,500743,572816,516782,621446,54.53,,,,,,,,3,4,Sinker,0,0,0,0,0,0,0,0,Infield shift,Standard,224.0,0.0,,,,0.0,0,0,0,NYM,MIA
6745,CH,2021-03-01,89.6,-2.1,6.06,"Alcantara, Sandy",596019,645261,field_out,hit_into_play,,,,,13.0,"Francisco Lindor grounds out, pitcher Sandy Alcantara to first baseman Jesus Aguilar.",S,L,R,MIA,NYM,X,1.0,ground_ball,2,1,2021,-1.38,0.16,-0.88,1.98,,,,1,1,Top,128.23,190.57,,,595751,,,5.89403517909477,-130.25397956872115,-4.380956071290652,-16.963267218904797,28.01319669726358,-29.608915293211112,3.31,1.66,0.0,72.3,-76.0,89.1,1806.0,6.1,641961,645261,595751,542583,656371,605119,500743,572816,516782,621446,54.38,0.249,0.231,0.0,,0.0,0.0,2.0,2,4,Changeup,0,0,0,0,0,0,0,0,Infield shift,Standard,229.0,0.018,,1.0,1.0,0.0,1,1,1,NYM,MIA
6572,SI,2021-03-17,96.9,-2.58,6.09,"Alcantara, Sandy",624413,645261,grounded_into_double_play,hit_into_play,,,,,1.0,"Pete Alonso grounds into a double play, third baseman Brian Anderson to second baseman Jazz Chisholm to first baseman Jesus Aguilar.   Francisco Lindor out at 2nd.    Pete Alonso out at 1st.",S,R,R,MIA,NYM,X,5.0,ground_ball,1,0,2021,-1.36,0.78,-0.55,3.08,,,596019.0,1,4,Top,93.51,153.54,,,595751,,,8.490108478512184,-140.78171173939424,-4.23270134768628,-20.095917543518024,32.83487195337972,-21.04052963412115,3.5,1.75,14.0,88.2,-12.0,96.3,2384.0,6.1,641967,645261,595751,542583,665862,605119,500743,572816,516782,643265,54.42,0.097,0.087,0.0,,0.0,0.0,2.0,23,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,220.0,0.062,,1.0,1.0,0.0,1,1,1,NYM,MIA
6576,CH,2021-03-17,91.9,-2.5,5.97,"Alcantara, Sandy",624424,645261,,foul,,,,,7.0,Michael Conforto called out on strikes.,S,L,R,MIA,NYM,S,,,0,2,2021,-1.39,0.25,-0.47,1.86,,,596019.0,0,4,Top,,,,,595751,,,8.144559233000201,-133.6920696469475,-5.181761379656405,-18.355338377193945,25.992882581534943,-28.276410674602477,3.41,1.7,239.0,75.9,30.0,92.3,1788.0,6.3,641967,645261,595751,542583,665862,605119,500743,572816,516782,643265,54.19,,,,,,,,22,3,Changeup,0,0,0,0,0,0,0,0,Infield shift,Strategic,241.0,0.0,,,,0.0,1,0,1,NYM,MIA
6573,SI,2021-03-17,97.3,-2.69,5.96,"Alcantara, Sandy",624413,645261,,ball,,,,,11.0,"Pete Alonso grounds into a double play, third baseman Brian Anderson to second baseman Jazz Chisholm to first baseman Jesus Aguilar.   Francisco Lindor out at 2nd.    Pete Alonso out at 1st.",S,R,R,MIA,NYM,B,,,0,0,2021,-1.39,0.4,-1.96,3.19,,,596019.0,1,4,Top,,,,,595751,,,5.15574518143366,-141.5416224553522,-2.79897591774669,-19.91373058997606,33.71971108630497,-26.316387310087983,3.43,1.74,,,,96.7,2324.0,6.1,641967,645261,595751,542583,665862,605119,500743,572816,516782,643265,54.43,,,,,,,,23,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,230.0,0.0,,,,0.0,0,0,0,NYM,MIA
6574,FF,2021-03-17,98.3,-2.46,6.04,"Alcantara, Sandy",624424,645261,strikeout,called_strike,,,,,4.0,Michael Conforto called out on strikes.,S,L,R,MIA,NYM,S,2.0,,0,2,2021,-0.95,1.07,-0.72,2.1,,,596019.0,0,4,Top,,,,,595751,,,6.885255464888211,-142.88233897118596,-7.66752212125166,-14.576796125431253,31.32020931916652,-15.955567324427117,3.01,1.56,,,,98.2,2175.0,6.2,641967,645261,595751,542583,665862,605119,500743,572816,516782,643265,54.32,,,0.0,,0.0,0.0,,22,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Strategic,224.0,0.041,,1.0,1.0,0.0,0,0,0,NYM,MIA
6575,FF,2021-03-17,97.3,-2.56,5.98,"Alcantara, Sandy",624424,645261,,foul,,,,,1.0,Michael Conforto called out on strikes.,S,L,R,MIA,NYM,S,,,0,2,2021,-0.84,1.04,-0.46,3.47,,,596019.0,0,4,Top,,,,,595751,,,7.548294339791889,-141.3297444997824,-3.504724835608032,-13.112361185282824,36.1619126127326,-17.699042568964032,3.41,1.7,316.0,92.4,34.0,96.5,2067.0,6.2,641967,645261,595751,542583,665862,605119,500743,572816,516782,643265,54.3,,,,,,,,22,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Strategic,237.0,0.0,,,,0.0,1,0,1,NYM,MIA
6577,SI,2021-03-17,98.0,-2.45,5.97,"Alcantara, Sandy",624424,645261,,foul,,,,,5.0,Michael Conforto called out on strikes.,S,L,R,MIA,NYM,S,,,0,1,2021,-1.46,0.78,0.01,2.8,,,596019.0,0,4,Top,,,,,595751,,,9.954672184473704,-142.3795139918666,-4.907969058543165,-22.08414862269097,29.84425365110103,-20.664688323534104,3.41,1.7,258.0,76.4,39.0,98.0,2418.0,6.2,641967,645261,595751,542583,665862,605119,500743,572816,516782,643265,54.33,,,,,,,,22,2,Sinker,0,0,0,0,0,0,0,0,Infield shift,Strategic,223.0,0.0,,,,0.0,1,0,1,NYM,MIA
6584,CH,2021-03-17,92.0,-2.18,6.13,"Alcantara, Sandy",605480,645261,strikeout,swinging_strike_blocked,,,,,13.0,"Mallex Smith strikes out swinging, catcher Jorge Alfaro to first baseman Jesus Aguilar.",S,L,R,MIA,NYM,S,2.0,,2,2,2021,-1.64,0.25,-0.21,0.74,,,,1,3,Top,,,,,595751,,,8.466169990719733,-133.45080303655865,-8.276505531390173,-21.4599815730412,28.994011535010564,-27.467799217810303,3.27,1.63,,,,91.1,2003.0,5.9,641967,645261,595751,542583,665862,605119,500743,572816,516782,643265,54.57,,,0.0,,0.0,0.0,,16,5,Changeup,0,0,0,0,0,0,0,0,Infield shift,Strategic,235.0,0.018,,1.0,1.0,0.0,1,0,0,NYM,MIA
6579,FF,2021-03-17,97.3,-2.03,6.07,"Alcantara, Sandy",596019,645261,single,hit_into_play,,,,,1.0,Francisco Lindor singles on a sharp ground ball to left fielder Corey Dickerson.,S,L,R,MIA,NYM,X,7.0,ground_ball,0,1,2021,-1.08,1.08,-0.36,3.13,,,,0,4,Top,114.77,125.11,,,595751,,,6.881442843473264,-141.61083372924483,-4.866533084287295,-16.046062996220154,28.295672346022577,-16.62701184600727,3.31,1.66,35.0,102.1,-3.0,97.0,2315.0,5.8,641967,645261,595751,542583,665862,605119,500743,572816,516782,643265,54.66,0.354,0.319,0.9,,1.0,0.0,2.0,21,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Strategic,227.0,-0.044,,1.0,1.0,1.0,1,1,1,NYM,MIA
6580,FF,2021-03-17,96.6,-2.24,6.0,"Alcantara, Sandy",596019,645261,,called_strike,,,,,5.0,Francisco Lindor singles on a sharp ground ball to left fielder Corey Dickerson.,S,L,R,MIA,NYM,S,,,0,0,2021,-0.98,1.12,0.08,2.61,,,,0,4,Top,,,,,595751,,,8.33758675024314,-140.30437783575383,-5.947027580831856,-14.920251320371644,32.542606817540374,-16.222041506780847,3.26,1.65,,,,95.6,2239.0,5.9,641967,645261,595751,542583,665862,605119,500743,572816,516782,643265,54.63,,,,,,,,21,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Strategic,232.0,0.0,,,,0.0,0,0,0,NYM,MIA
6582,FF,2021-03-17,97.6,-2.37,5.99,"Alcantara, Sandy",643446,645261,,swinging_strike,,,,,7.0,Jeff McNeil called out on strikes.,S,L,R,MIA,NYM,S,,,0,1,2021,-0.91,1.08,-0.72,2.13,,,,2,3,Top,,,,,595751,,,6.468725343908588,-141.91337185290095,-7.353939797772041,-13.686346702233353,29.74646759628996,-16.064396733506573,3.41,1.7,,,,97.3,2273.0,6.0,641967,645261,595751,542583,665862,605119,500743,572816,516782,643265,54.51,,,,,,,,17,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Strategic,232.0,0.0,,,,0.0,1,0,0,NYM,MIA
